Rk,Player,Pos,"Squad
▲",Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
151,Steph Houghton,DF,Manchester City,31,1988,16,2,7,3,42.9,0.44,0.19,0.29,0.67,15.4,2,0,0,1.1,1.1,0.15,0.9,0.9
152,Lauren Hemp,"MF,FW",Manchester City,18,2000,12.6,5,21,9,42.9,1.67,0.71,0.24,0.56,12.5,0,0,0,4.2,4.2,0.2,0.8,0.8
153,Lee Geum-min,"MF,FW",Manchester City,25,1994,0.5,1,1,1,100,2.05,2.05,1,1,10.4,0,0,0,0.4,0.4,0.39,0.6,0.6
154,Matilde Fidalgo,DF,Manchester City,25,1994,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
155,Laura Coombs,"MF,FW",Manchester City,28,1991,1.2,0,2,1,50,1.73,0.87,0,0,25.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
156,Megan Campbell,DF,Manchester City,26,1993,3.7,0,1,0,0,0.27,0,0,,13.9,0,0,0,0,0,0.04,0,0
157,Pauline Bremer,FW,Manchester City,23,1996,6.4,10,48,21,43.8,7.47,3.27,0.21,0.48,12.8,0,0,0,5.5,5.5,0.12,4.5,4.5
158,Gemma Bonner,DF,Manchester City,28,1991,16,3,15,5,33.3,0.94,0.31,0.2,0.6,9.3,0,0,0,2.9,2.9,0.2,0.1,0.1
159,Karima Benameur,GK,Manchester City,30,1989,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
160,Janine Beckie,"DF,FW",Manchester City,24,1994,13,0,24,5,20.8,1.85,0.38,0,0,15.8,0,0,0,2.3,2.3,0.1,-2.3,-2.3
161,Katie Zelem,MF,Manchester Utd,23,1996,12.7,5,21,8,38.1,1.65,0.63,0.05,0.13,27.2,5,4,4,4.1,0.9,0.04,0.9,0.1
162,Millie Turner,DF,Manchester Utd,23,1996,13.9,0,5,0,0,0.36,0,0,,9,0,0,0,1,1,0.2,-1,-1
163,Amy Turner,DF,Manchester Utd,28,1991,11.9,0,8,2,25,0.67,0.17,0,0,20.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
164,Ella Toone,"MF,FW",Manchester Utd,19,1999,5.8,1,18,7,38.9,3.08,1.2,0.06,0.14,18.5,1,0,0,2.8,2.8,0.15,-1.8,-1.8
165,Kirsty Smith,DF,Manchester Utd,25,1994,7,0,2,0,0,0.28,0,0,,30.1,0,0,0,0,0,0.02,0,0
166,Jessica Sigsworth,"FW,MF",Manchester Utd,24,1994,8,2,11,4,36.4,1.37,0.5,0.18,0.5,11.2,0,0,0,1.9,1.9,0.18,0.1,0.1
167,Jane Ross,FW,Manchester Utd,29,1989,6.3,1,9,5,55.6,1.42,0.79,0.11,0.2,16.5,0,0,0,1.5,1.5,0.17,-0.5,-0.5
168,Lotta Ökvist,DF,Manchester Utd,22,1997,2.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
169,Abbie McManus,DF,Manchester Utd,26,1993,11,0,1,0,0,0.09,0,0,,9.7,0,0,0,0.1,0.1,0.09,-0.1,-0.1
170,Rebecca May,FW,Manchester Utd,17,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
171,Hayley Ladd,MF,Manchester Utd,25,1993,13.7,0,16,3,18.8,1.17,0.22,0,0,23.4,0,0,0,0.7,0.7,0.04,-0.7,-0.7
